Date,Team,Notes,Player,Injury Class
2017-01-10,Heat,returned to lineup,Luke Babbitt,returned to lineup
2017-01-10,Magic,sore right shoulder (DTD),Serge Ibaka,DTD
2017-01-10,Pistons,sore right knee (DTD),Jon Leuer,DTD
2017-01-10,Spurs,gastroenteritis (DTD),LaMarcus Aldridge,DTD
2017-01-10,Spurs,returned to lineup,David Lee,returned to lineup
2017-01-10,Timberwolves,bruised left hip (DTD),Zach LaVine,DTD
2017-01-10,Wizards,illness (DTD),Tomas Satoransky,DTD
2017-01-10,Hornets,hyperextended/strained right knee (DTD),Nicolas Batum,DTD
2017-01-11,Celtics,sprained left ankle (DTD),Amir Johnson,DTD
2017-01-11,Celtics,strained Achilles (DTD),Avery Bradley,DTD
2017-01-11,Celtics,sprained right ankle (DTD),Jaylen Brown,DTD
2017-01-11,Clippers,returned to lineup,Austin Rivers,returned to lineup
2017-01-11,Mavericks,strained right hamstring (DTD),Andrew Bogut,DTD
2017-01-12,Bulls,flu (DTD),Denzel Valentine,DTD
2017-01-12,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2017-01-12,Hornets,sore foot (DTD),Jeremy Lamb,DTD
2017-01-12,Nuggets,returned to lineup,Gary Harris,returned to lineup
2017-01-12,Nuggets,returned to lineup,Nikola Jokic,returned to lineup
2017-01-12,Spurs,returned to lineup,LaMarcus Aldridge,returned to lineup
2017-01-13,Blazers,strained left calf (DTD),Maurice Harkless,DTD
2017-01-13,Celtics,returned to lineup,Amir Johnson,returned to lineup
2017-01-13,Celtics,returned to lineup,Jaylen Brown,returned to lineup
2017-01-13,Heat,bruised sternum (DTD),Willie Reed,DTD
2017-01-13,Hornets,returned to lineup,Cody Zeller,returned to lineup
2017-01-13,Hornets,returned to lineup,Nicolas Batum,returned to lineup
2017-01-13,Magic,returned to lineup,Serge Ibaka,returned to lineup
2017-01-13,Pistons,arm injury (DTD),Michael Gbinije,DTD
2017-01-13,Raptors,sore left knee (DTD),Patrick Patterson,DTD
2017-01-13,Spurs,sprained right ankle (DTD),Dejounte Murray,DTD
2017-01-14,Bulls,returned to lineup,Denzel Valentine,returned to lineup
2017-01-14,Magic,sore right foot / heel (DTD),Evan Fournier,DTD
2017-01-14,Spurs,tightness in left calf (DTD),Patrick Mills,DTD
2017-01-14,Suns,sprained right wrist (DTD),Brandon Knight,DTD
2017-01-14,Wizards,returned to lineup,Tomas Satoransky,returned to lineup
2017-01-15,Bulls,rest (DTD),Dwyane Wade,DTD
2017-01-15,Hawks,sore/sprained left ankle (DTD),Mike Muscala,DTD
2017-01-15,Jazz,bruised right knee (DTD),Rodney Hood,DTD
2017-01-16,76ers,sprained left ankle (DTD),Nerlens Noel,DTD
2017-01-16,76ers,sprained right wrist (DTD),Timothy McConnell,DTD
2017-01-16,Blazers,returned to lineup,Maurice Harkless,returned to lineup
2017-01-16,Celtics,returned to lineup,Avery Bradley,returned to lineup
2017-01-16,Hawks,rest (DTD),Dwight Howard,DTD
2017-01-16,Knicks,fractured orbital bone (out indefinitely),Lance Thomas,out indefinitely
2017-01-16,Nuggets,sprained right ankle (DTD),Gary Harris,DTD
2017-01-16,Suns,dizziness (DTD),Jared Dudley,DTD
2017-01-16,Suns,gastroenteritis (DTD),Tyson Chandler,DTD
2017-01-16,Thunder,concussion (DTD),Steven Adams,DTD
2017-01-17,Blazers,sprained left ankle (DTD),Ed Davis,DTD
2017-01-17,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2017-01-17,Heat,returned to lineup,Willie Reed,returned to lineup
2017-01-17,Kings,strained right calf (DTD),Omri Casspi,DTD
2017-01-17,Rockets,flu (DTD),Ryan Anderson,DTD
2017-01-17,Spurs,returned to lineup,Patrick Mills,returned to lineup
2017-01-17,Clippers,torn ligament in left thumb (DTD),Chris Paul,DTD
2017-01-17,Clippers,surgery on left thumb to repair torn ligament (out indefinitely),Chris Paul,out indefinitely
2017-01-18,76ers,returned to lineup,Nerlens Noel,returned to lineup
2017-01-18,76ers,returned to lineup,Timothy McConnell,returned to lineup
2017-01-18,Celtics,sore right Achilles (DTD),Avery Bradley,DTD
2017-01-18,Kings,sprained left ankle (DTD),Ty Lawson,DTD
2017-01-18,Magic,dislocated right thumb (DTD),Jodie Meeks,DTD
2017-01-18,Warriors,fractured left thumb (DTD),David West,DTD
2017-01-18,Kings,torn left Achilles tendon (out for season),Rudy Gay,out for season
2017-01-18,Knicks,sore left Achilles (DTD),Kristaps Porzingis,DTD
2017-01-19,Cavaliers,sore lower back (DTD),Kevin Love,DTD
2017-01-19,Nuggets,sprained right ankle (DTD),Danilo Gallinari,DTD
2017-01-19,Spurs,sore left foot (DTD),William Parker,DTD
2017-01-19,Spurs,fractured left ring finger (DTD),Pau Gasol,DTD
2017-01-19,Suns,returned to lineup,Brandon Knight,returned to lineup
2017-01-19,Suns,returned to lineup,Jared Dudley,returned to lineup
2017-01-19,Suns,returned to lineup,Tyson Chandler,returned to lineup
2017-01-19,Kings,surgery to repair torn left Achilles tendon (out for season),Rudy Gay,out for season
2017-01-20,76ers,bruised left knee (DTD),Joel Embiid,DTD
2017-01-20,Blazers,returned to lineup,Ed Davis,returned to lineup
2017-01-20,Grizzlies,rest (DTD),Chandler Parsons,DTD
2017-01-20,Kings,returned to lineup,Ty Lawson,returned to lineup
2017-01-20,Magic,tendinitis in knee / left Achilles tendon (DTD),Brian Wilcox,DTD
2017-01-20,Mavericks,strained left calf (DTD),Jose Barea,DTD
2017-01-20,Rockets,returned to lineup,Ryan Anderson,returned to lineup
2017-01-20,Spurs,surgery on left ring finger to repair fracture (out indefinitely),Pau Gasol,out indefinitely
2017-01-21,76ers,rest (DTD),Joel Embiid,DTD
2017-01-21,Blazers,sprained left ankle (DTD),Ed Davis,DTD
2017-01-21,Cavaliers,returned to lineup,Kevin Love,returned to lineup
2017-01-21,Celtics,illness (DTD),Demetrius Jackson,DTD
2017-01-21,Grizzlies,sprained MCL in right knee (DTD),Troy Daniels,DTD
2017-01-21,Grizzlies,returned to lineup,Chandler Parsons,returned to lineup
2017-01-21,Heat,sprained/strained left shoulder (DTD),Tyler Johnson,DTD
2017-01-21,Lakers,strained left calf / sprained ligament in right knee (DTD),D'Angelo Russell,DTD
2017-01-21,Nets,sprained left ankle (DTD),Joe Harris,DTD
2017-01-21,Nuggets,returned to lineup,Danilo Gallinari,returned to lineup
2017-01-21,Rockets,illness (DTD),Ryan Anderson,DTD
2017-01-21,Celtics,sinus infection (DTD),Tyler Zeller,DTD
2017-01-22,Mavericks,strained left calf (DTD),Jose Barea,DTD
2017-01-22,Raptors,sprained right ankle (DTD),DeMar DeRozan,DTD
2017-01-22,Spurs,sore back / back spasms (DTD),Emanuel Ginobili,DTD
2017-01-22,Suns,sore right ankle (DTD),Dragan Bender,DTD
2017-01-22,Timberwolves,sore hip (DTD),Ricky Rubio,DTD
2017-01-23,Celtics,illness (DTD),Gerald Green,DTD
2017-01-23,Hornets,illness (DTD),Brian Roberts,DTD
2017-01-23,Mavericks,strained right hip (DTD),Wesley Matthews,DTD
2017-01-23,Rockets,returned to lineup,Ryan Anderson,returned to lineup
2017-01-23,Spurs,sore left hand (DTD),Kawhi Leonard,DTD
2017-01-23,Thunder,returned to lineup,Steven Adams,returned to lineup
2017-01-24,76ers,sore right knee (DTD),Jahlil Okafor,DTD
2017-01-24,Magic,sprained right ankle (DTD),Darryl Augustine,DTD
2017-01-24,Magic,surgery on dislocated right thumb (out indefinitely),Jodie Meeks,out indefinitely
2017-01-24,Raptors,returned to lineup,Patrick Patterson,returned to lineup
2017-01-24,Spurs,sprained right wrist (DTD),Jonathon Simmons,DTD
2017-01-24,Spurs,returned to lineup,Emanuel Ginobili,returned to lineup
2017-01-24,76ers,returned to lineup,Joel Embiid,returned to lineup
2017-01-24,76ers,bruised left knee (DTD),Joel Embiid,DTD
2017-01-25,Blazers,sprained wrist / left ankle injury (DTD),Ed Davis,DTD
2017-01-25,Blazers,strained left calf (DTD),Maurice Harkless,DTD
2017-01-25,Blazers,sprained left ankle (DTD),Tim Quarterman,DTD
2017-01-25,Grizzlies,sore left knee (DTD),Chandler Parsons,DTD
2017-01-25,Grizzlies,sore left knee (DTD),JaMychal Green,DTD
2017-01-25,Hornets,returned to lineup,Brian Roberts,returned to lineup
2017-01-25,Mavericks,sprained left big toe (DTD),Deron Williams,DTD
2017-01-25,Rockets,sore lower back / back spasms (DTD),Eric Gordon,DTD
2017-01-26,Lakers,illness (DTD),Julius Randle,DTD
2017-01-26,Mavericks,rest (DTD),Dirk Nowitzki,DTD
2017-01-26,Thunder,fractured right arm / hand (out indefinitely),Enes Kanter,out indefinitely
2017-01-27,76ers,returned to lineup,Joel Embiid,returned to lineup
2017-01-27,Cavaliers,returned to lineup,Richard Jefferson,returned to lineup
2017-01-27,Celtics,groin injury (DTD),Al Horford,DTD
2017-01-27,Grizzlies,returned to lineup,Chandler Parsons,returned to lineup
2017-01-27,Grizzlies,returned to lineup,JaMychal Green,returned to lineup
2017-01-27,Heat,ankle injury (DTD),Hassan Whiteside,DTD
2017-01-27,Magic,left ankle / Achilles tendinitis (DTD),Brian Wilcox,DTD
2017-01-27,Magic,sore right foot (DTD),Evan Fournier,DTD
2017-01-27,Magic,returned to lineup,Darryl Augustine,returned to lineup
2017-01-27,Nets,rest (DTD),Brook Lopez,DTD
2017-01-27,Nets,rest (DTD),Caris LeVert,DTD
2017-01-27,Nets,illness (DTD),Trevor Booker,DTD
2017-01-27,Nuggets,strained left hip flexor (DTD),Nikola Jokic,DTD
2017-01-27,Spurs,returned to lineup,Kawhi Leonard,returned to lineup
2017-01-27,Thunder,surgery on right arm / hand to repair fracture (out indefinitely),Enes Kanter,out indefinitely
2017-01-27,Celtics,returned to lineup,Demetrius Jackson,returned to lineup
2017-01-28,Grizzlies,left foot injury (DTD),Deyonta Davis,DTD
2017-01-28,Grizzlies,returned to lineup,Troy Daniels,returned to lineup
2017-01-28,Hawks,groin injury (DTD),Thabo Sefolosha,DTD
2017-01-28,Heat,returned to lineup,Hassan Whiteside,returned to lineup
2017-01-28,Hornets,metatarsal inflammation (DTD),Jeremy Lamb,DTD
2017-01-28,Knicks,sprained left ankle (DTD),Derrick Rose,DTD
2017-01-28,Nets,returned to lineup,Brook Lopez,returned to lineup
2017-01-28,Nets,returned to lineup,Caris LeVert,returned to lineup
2017-01-28,Nets,returned to lineup,Trevor Booker,returned to lineup
2017-01-29,76ers,rest (DTD),Joel Embiid,DTD
2017-01-29,Blazers,returned to lineup,Maurice Harkless,returned to lineup
2017-01-29,Magic,left Achilles tendinitis (DTD),Brian Wilcox,DTD
2017-01-29,Mavericks,returned to lineup,Dirk Nowitzki,returned to lineup
2017-01-29,Mavericks,returned to lineup,Wesley Matthews,returned to lineup
2017-01-29,Rockets,returned to lineup,Eric Gordon,returned to lineup
2017-01-29,Blazers,returned to lineup,Tim Quarterman,returned to lineup
2017-01-29,Blazers,left wrist injury,Ed Davis,Other
2017-01-30,76ers,bruised left knee (out for season),Joel Embiid,out for season
2017-01-30,76ers,returned to lineup,Jahlil Okafor,returned to lineup
2017-01-30,Cavaliers,lower back spasms (DTD),Kevin Love,DTD
2017-01-30,Heat,returned to lineup,Tyler Johnson,returned to lineup
2017-01-30,Lakers,pneumonia (DTD),Julius Randle,DTD
2017-01-30,Magic,returned to lineup,Evan Fournier,returned to lineup
2017-01-30,Mavericks,strained right hamstring (DTD),Andrew Bogut,DTD
2017-01-31,Hornets,returned to lineup,Jeremy Lamb,returned to lineup
2017-01-31,Knicks,illness (DTD),Kristaps Porzingis,DTD
2017-01-31,Nuggets,sore left ankle (DTD),Will Barton,DTD
2017-01-31,Pelicans,left ankle injury (DTD),Tyreke Evans,DTD
2017-01-31,Spurs,returned to lineup,Jonathon Simmons,returned to lineup
2017-02-01,76ers,bruised right hand/wrist (DTD),Robert Covington,DTD
2017-02-01,Celtics,sore/strained left shoulder (DTD),Kelly Olynyk,DTD
2017-02-01,Jazz,hyperextended right knee (DTD),Rodney Hood,DTD
2017-02-01,Knicks,returned to lineup,Kristaps Porzingis,returned to lineup
2017-02-01,Pelicans,returned to lineup,Tyreke Evans,returned to lineup
2017-02-01,Warriors,strained back (DTD),Shaun Livingston,DTD
2017-02-01,Warriors,strained right rotator cuff (DTD),Zaur Pachulia,DTD
2017-02-02,76ers,rest (DTD),Joel Embiid,DTD
2017-02-02,76ers,upper respiratory infection (DTD),Nerlens Noel,DTD
2017-02-02,Kings,torn left hamstring (DTD),Garrett Temple,DTD
2017-02-02,Nuggets,strained groin (DTD),Danilo Gallinari,DTD
2017-02-02,Pacers,sprained right ankle (DTD),Rodney Stuckey,DTD
2017-02-02,Warriors,bruised left shoulder (DTD),Draymond Green,DTD
2017-02-03,Blazers,returned to lineup,Ed Davis,returned to lineup
2017-02-03,Bulls,bruised right heel (DTD),Jimmy Butler,DTD
2017-02-03,Celtics,returned to lineup,Kelly Olynyk,returned to lineup
2017-02-03,Hornets,torn lateral meniscus in left knee (out indefinitely),Ramon Sessions,out indefinitely
2017-02-03,Kings,illness (DTD),Arron Afflalo,DTD
2017-02-03,Lakers,illness (DTD),Julius Randle,DTD
2017-02-03,Mavericks,illness (DTD),Devin Harris,DTD
2017-02-03,Rockets,sore groin (DTD),Nene,DTD
2017-02-03,Timberwolves,thrombocytopenia (blood disorder) (DTD),Adreian Payne,DTD
2017-02-03,Timberwolves,right hand injury (DTD),Kris Dunn,DTD
2017-02-03,Timberwolves,torn ACL in left knee (out for season),Zach LaVine,out for season
2017-02-03,Mavericks,sprained right big toe (DTD),Deron Williams,DTD
2017-02-04,76ers,knee injury (DTD),Jahlil Okafor,DTD
2017-02-04,76ers,sore left knee (out for seaon),Joel Embiid,Other
2017-02-04,76ers,returned to lineup,Nerlens Noel,returned to lineup
2017-02-04,Bulls,right leg injury (DTD),Cristiano Felicio,DTD
2017-02-04,Cavaliers,bruised right quadriceps (DTD),Kyrie Irving,DTD
2017-02-04,Cavaliers,returned to lineup,Kevin Love,returned to lineup
2017-02-04,Grizzlies,DNP,Chandler Parsons,Other
2017-02-04,Grizzlies,rest (DTD),Marc Gasol,DTD
2017-02-04,Kings,returned to lineup,Arron Afflalo,returned to lineup
2017-02-04,Raptors,bruised left knee (DTD),Patrick Patterson,DTD
2017-02-04,Warriors,returned to lineup,Draymond Green,returned to lineup
2017-02-05,Nets,sore right knee (DTD),Caris LeVert,DTD
2017-02-06,76ers,bruised left knee (out for season),Joel Embiid,out for season
2017-02-06,76ers,returned to lineup,Jahlil Okafor,returned to lineup
2017-02-06,76ers,returned to lineup,Robert Covington,returned to lineup
2017-02-06,Cavaliers,returned to lineup,Kyrie Irving,returned to lineup
2017-02-06,Grizzlies,returned to lineup,Chandler Parsons,returned to lineup
2017-02-06,Grizzlies,returned to lineup,Marc Gasol,returned to lineup
2017-02-06,Lakers,returned to lineup,Julius Randle,returned to lineup
2017-02-06,Mavericks,sprained right big toe (DTD),Deron Williams,DTD
2017-02-06,Mavericks,returned to lineup,Devin Harris,returned to lineup
2017-02-06,Nets,sprained left ankle (DTD),Quincy Acy,DTD
2017-02-06,Spurs,bruised right quadriceps (DTD),Kawhi Leonard,DTD
2017-02-07,Blazers,fractured right hand (out indefinitely),Evan Turner,out indefinitely
2017-02-07,Mavericks,sprained right big toe (DTD),Deron Williams,DTD
2017-02-07,Pelicans,sprained left ankle (DTD),Tyreke Evans,DTD
2017-02-07,Rockets,returned to lineup,Nene,returned to lineup
2017-02-08,,surgery on right ankle to remove bone spur (out indefinitely),Dragan Bender,out indefinitely
2017-02-08,76ers,upper respiratory infection (DTD),Richaun Holmes,DTD
2017-02-08,Blazers,surgery on right hand to repair fracture (out indefinitely),Evan Turner,out indefinitely
2017-02-08,Bucks,torn ACL in left knee (out for season),Jabari Parker,out for season
2017-02-08,Cavaliers,sprained left ankle (DTD),Iman Shumpert,DTD
2017-02-08,Grizzlies,rest (DTD),Vince Carter,DTD
2017-02-08,Grizzlies,sore left foot (DTD),Zach Randolph,DTD
2017-02-08,Heat,sprained left ankle (DTD),Dion Waiters,DTD
2017-02-08,Hornets,surgery on left knee to repair torn lateral meniscus (out for season),Ramon Sessions,out for season
2017-02-08,Magic,bone bruise in right foot (DTD),Aaron Gordon,DTD
2017-02-08,Nets,returned to lineup,Caris LeVert,returned to lineup
2017-02-08,Spurs,returned to lineup,Kawhi Leonard,returned to lineup
2017-02-08,Nuggets,sprained right ankle (DTD),Kenneth Faried,DTD
2017-02-09,76ers,rest (DTD),Joel Embiid,DTD
2017-02-09,Blazers,recovering from surgery on right hand to repair fracture (out indefinitely),Evan Turner,out indefinitely
2017-02-09,Bulls,left ankle tendinitis (DTD),Paul Zipser,DTD
2017-02-09,Jazz,sore left big toe (DTD),George Hill,DTD
2017-02-09,Kings,adductor muscle injury / strained left hamstring (DTD),Ty Lawson,DTD
2017-02-09,Mavericks,sprained left big toe (DTD),Deron Williams,DTD
2017-02-09,Rockets,sore lower back (DTD),Eric Gordon,DTD
2017-02-09,Rockets,rest / shoulder injury (DTD),Nene,DTD
2017-02-10,Bulls,returned to lineup,Jimmy Butler,returned to lineup
2017-02-10,Grizzlies,rest (DTD),Chandler Parsons,DTD
2017-02-10,Grizzlies,returned to lineup,Zach Randolph,returned to lineup
2017-02-10,Pelicans,sprained right thumb (DTD),Terrence Jones,DTD
2017-02-10,Timberwolves,returned to lineup,Kris Dunn,returned to lineup
2017-02-10,Wizards,returned to lineup,Danuel House,returned to lineup
2017-02-10,Nuggets,sore lower back (DTD),Emmanuel Mudiay,DTD
2017-02-11,76ers,bruised left knee (out for season),Joel Embiid,out for season
2017-02-11,76ers,returned to lineup,Richaun Holmes,returned to lineup
2017-02-11,Jazz,returned to lineup,George Hill,returned to lineup
2017-02-11,Rockets,returned to lineup,Nene,returned to lineup
2017-02-12,Bulls,bruised right wrist (DTD),Dwyane Wade,DTD
2017-02-12,Bulls,bruised right heel (DTD),Jimmy Butler,DTD
2017-02-12,Bulls,back spasms (DTD),Nikola Mirotic,DTD
2017-02-12,Cavaliers,left knee injury (DTD),Kevin Love,DTD
2017-02-12,Pelicans,returned to lineup,Tyreke Evans,returned to lineup
2017-02-13,Grizzlies,rest (DTD),Tony Allen,DTD
2017-02-13,Grizzlies,returned to lineup,Chandler Parsons,returned to lineup
2017-02-13,Heat,returned to lineup,Dion Waiters,returned to lineup
2017-02-13,Magic,returned to lineup,Aaron Gordon,returned to lineup
2017-02-13,Nuggets,sore left knee (DTD),Darrell Arthur,DTD
2017-02-13,Nuggets,illness (DTD),Wilson Chandler,DTD
2017-02-13,Pacers,sore right knee (DTD),Lavoy Allen,DTD
2017-02-13,Warriors,sore right heel (DTD),Klay Thompson,DTD
2017-02-14,Blazers,sprained left knee (DTD),Al-Farouq Aminu,DTD
2017-02-14,Bulls,returned to lineup,Jimmy Butler,returned to lineup
2017-02-14,Cavaliers,returned to lineup,Iman Shumpert,returned to lineup
2017-02-14,Hornets,strained right calf (DTD),Miles Plumlee,DTD
2017-02-15,Bucks,surgery on left knee to repair torn ACL (out for season),Jabari Parker,out for season
2017-02-15,Grizzlies,returned to lineup,Tony Allen,returned to lineup
2017-02-15,Kings,strained left adductor muscle (DTD),Ty Lawson,DTD
2017-02-15,Magic,sore right Achilles (DTD),Charles Watson,DTD
2017-02-15,Rockets,returned to lineup,Eric Gordon,returned to lineup
2017-02-15,Spurs,left ankle impingement (DTD),Emanuel Ginobili,DTD
2017-02-15,Timberwolves,sprained left ankle (DTD),Lance Stephenson,DTD
2017-02-15,Warriors,returned to lineup,Klay Thompson,returned to lineup
2017-02-16,Bulls,left ankle tendinitis (DTD),Paul Zipser,DTD
2017-02-16,Bulls,returned to lineup,Nikola Mirotic,returned to lineup
2017-02-16,Kings,torn right hamstring (DTD),Malachi Richardson,DTD
2017-02-22,Pelicans,illness (DTD),Omer Asik,DTD
2017-02-23,Kings,sore left hamstring (DTD),Arron Afflalo,DTD
2017-02-23,Kings,returned to lineup,Ty Lawson,returned to lineup
2017-02-23,Knicks,sprained right ankle (DTD),Kristaps Porzingis,DTD
2017-02-23,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2017-02-23,Nuggets,returned to lineup,Emmanuel Mudiay,returned to lineup
2017-02-23,Nuggets,returned to lineup,Wilson Chandler,returned to lineup
2017-02-23,Pistons,ankle injury (DTD),Beno Udrih,DTD
2017-02-23,Magic,Achilles injury (DTD),Charles Watson,DTD
2017-02-23,Pelicans,fractured right thumb (out indefinitely),Omri Casspi,out indefinitely
2017-02-24,Bulls,returned to lineup,Dwyane Wade,returned to lineup
2017-02-24,Clippers,left knee injury (DTD),Diamond Stone,DTD
