Year,Team,Notes,Name,Injury Class
2013,Rockets,sore right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Mavericks,illness (DNP),Brandan Wright,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Hawks,torn right pectoral muscle (out for season),Al Horford,out for season
2013,Heat,sore back (DNP),Chris Andersen,DNP
2013,Heat,right knee tendinitis (DNP),Ray Allen,DNP
2013,Knicks,sprained left ankle (DNP),Carmelo Anthony,DNP
2013,Lakers,upper respiratory infection (DNP),Pau Gasol,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Mavericks,illness (DTD),Wayne Ellington,DTD
2013,Nuggets,bruised/strained right quadriceps (DNP),Darrell Arthur,DNP
2013,Nuggets,sprained left ankle (DNP),Kenneth Faried,DNP
2013,Wizards,sore right knee (P) / left knee (CBC) (DNP),Kevin Seraphin,DNP
2013,Thunder,arthroscopic surgery on right knee (out indefinitely),Russell Westbrook,out indefinitely
2013,Pelicans,bone bruise in right knee (DNP),Jason Smith,DNP
2013,76ers,sore right knee (DNP),Evan Turner,DNP
2013,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2013,Bucks,left foot injury (DNP),Gary Neal,DNP
2013,Bucks,sprained left ankle (DNP),John Henson,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Knicks,sprained left ankle (DNP),Carmelo Anthony,DNP
2013,Knicks,sore left knee (DNP),Metta Peace,DNP
2013,Mavericks,illness (DNP),Wayne Ellington,DNP
2013,Nets,hamstring injury (DNP),Tyshawn Taylor,DNP
2013,Nuggets,bruised/strained right quadriceps (DNP),Darrell Arthur,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Wizards,sore right knee (P) / left knee (CBC) (DNP),Kevin Seraphin,DNP
2013,Hawks,sprained right thumb (DNP),DeMarre Carroll,DNP
2013,Lakers,upper respiratory inflammation (DNP),Pau Gasol,DNP
2013,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2013,Warriors,food poisoning (DNP),Toney Douglas,DNP
2013,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2013,Bulls,sore left Achilles (DNP),Luol Deng,DNP
2013,Lakers,right knee injury (out indefinitely),Xavier Henry,out indefinitely
2013,Mavericks,illness (DNP),Wayne Ellington,DNP
2013,Pistons,sore shoulder (DNP),Rodney Stuckey,DNP
2013,Bucks,sprained left ankle (DNP),John Henson,DNP
2013,Hawks,surgery to repair torn pectoracl muscle (out for season),Al Horford,out for season
2013,Hawks,sprained right thumb (DNP),DeMarre Carroll,DNP
2013,Lakers,nerve root irritation (DNP),Steve Blake,DNP
2013,Lakers,illness (DNP),Wesley Johnson,DNP
2013,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2013,Nets,hamstring injury (DNP),Tyshawn Taylor,DNP
2013,Rockets,sprained right knee (DNP),Greg Smith,DNP
2013,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Mavericks,illness (DNP),Wayne Ellington,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Bucks,sprained left ankle (DNP),John Henson,DNP
2014,Cavaliers,bruised left knee (DTD),Kyrie Irving,DTD
2014,Knicks,sore left knee (DNP),Metta Peace,DNP
2014,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2014,Nets,hamstring injury (DNP),Tyshawn Taylor,DNP
2014,Suns,sprained right knee (DTD),Eric Bledsoe,DTD
2014,Clippers,separated right shoulder (out indefinitely),Chris Paul,out indefinitely
2014,Knicks,sore left ankle (DNP),Kenyon Martin,DNP
2014,Knicks,sore left knee (DNP),Metta Peace,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Mavericks,illness (DNP),Wayne Ellington,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Bucks,sprained left ankle (DNP),John Henson,DNP
2014,Bulls,sore/bruised right knee (DNP),Carlos Boozer,DNP
2014,Clippers,separated right shoulder (DNP),Chris Paul,DNP
2014,Magic,sprained left ankle (DNP),Nikola Vucevic,DNP
2014,Nets,surgery on right foot to repair fracture (out for season),Brook Lopez,out for season
2014,Timberwolves,strained left groin (DNP),Luc Moute,DNP
2014,Cavaliers,back spasms (DNP),Jarrett Jack,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Knicks,sore left knee (DNP),Metta Peace,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Pistons,sore shoulder (DNP),Rodney Stuckey,DNP
2014,76ers,flu (DNP),Tony Wroten,DNP
2014,Magic,sinus infection (DNP),Ronnie Price,DNP
2014,Nets,sprained left ankle (DNP),Deron Williams,DNP
2014,Timberwolves,strained left groin (DNP),Luc Moute,DNP
2014,76ers,flu (DNP),Tony Wroten,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Bucks,sprained left ankle (DNP),John Henson,DNP
2014,Bulls,sore right knee (DNP),Carlos Boozer,DNP
2014,Celtics,sprained left ankle (DNP),Kris Humphries,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Heat,right Achilles injury (DNP),Mario Chalmers,DNP
2014,Jazz,flu (DNP),Andris Biedrins,DNP
2014,Knicks,upper respiratory infection (DNP),Tyson Chandler,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Pistons,sore shoulder (DNP),Rodney Stuckey,DNP
2014,Spurs,sprained/separated right shoulder (DNP),Tiago Splitter,DNP
2014,Thunder,flu (DNP),Serge Ibaka,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sinus infection (DNP),Ronnie Price,DNP
2014,Nets,sprained left ankle (DNP),Deron Williams,DNP
2014,Rockets,sore right knee (DNP),Chandler Parsons,DNP
2014,Rockets,sprained/sore right / left (CBC) knee (DNP),Greg Smith,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Spurs,tightness in left hamstring (DNP),Emanuel Ginobili,DNP
2014,Spurs,sprained right shoulder (DNP),Tiago Splitter,DNP
2014,Heat,strained right Achilles (DNP),Mario Chalmers,DNP
2014,Knicks,left knee injury (DNP),Beno Udrih,DNP
2014,Knicks,upper respiratory infection (DNP),Tyson Chandler,DNP
2014,Nuggets,strained left hip (DNP),Wilson Chandler,DNP
2014,76ers,strained right calf (DNP),Lavoy Allen,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Bucks,sprained left ankle (DNP),John Henson,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Heat,knee injury / rest (DNP),Dwyane Wade,DNP
2014,Heat,strained right Achilles (DNP),Mario Chalmers,DNP
2014,Jazz,strained left hip flexor (DNP),Gordon Hayward,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sinus infection (DNP),Ronnie Price,DNP
2014,Mavericks,illness (DNP),Wayne Ellington,DNP
2014,Nets,sprained left ankle (DNP),Deron Williams,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Rockets,sore right knee (DNP),Chandler Parsons,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Suns,arthroscopic surgery on right knee to repair meniscus cartilage,Eric Bledsoe,Other
2014,76ers,strained right calf (DNP),Lavoy Allen,DNP
2014,Bobcats,torn right Achilles tendon (DNP),Jeffery Taylor,DNP
2014,Bucks,sprained left ankle (DNP),John Henson,DNP
2014,Bulls,bruised thigh (DNP),Jimmy Butler,DNP
2014,Knicks,inflammation (DNP),Beno Udrih,DNP
2014,Knicks,upper respiratory infection (DNP),Tyson Chandler,DNP
2014,Magic,sprained right foot (DNP),Arron Afflalo,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sinus infection (DNP),Ronnie Price,DNP
2014,Mavericks,illness (DNP),Wayne Ellington,DNP
2014,Nets,rest (DNP),Kevin Garnett,DNP
2014,Nuggets,sprained left ankle (DNP),Anthony Randolph,DNP
2014,Nuggets,strained left hip (DNP),Wilson Chandler,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Pelicans,sore left ankle (DNP),Tyreke Evans,DNP
2014,Rockets,sore right knee (DNP),Chandler Parsons,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Hawks,back spasms (DNP),Pero Antic,DNP
2014,Spurs,tightness in left hamstring (DNP),Emanuel Ginobili,DNP
2014,Jazz,flu (DTD),Andris Biedrins,DTD
2014,Knicks,upper respiratory infection (DNP),Tyson Chandler,DNP
2014,Magic,sprained right foot (DNP),Arron Afflalo,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sinus infection (DNP),Ronnie Price,DNP
2014,Nuggets,sprained left ankle (DNP),Anthony Randolph,DNP
2014,Nuggets,strained left groin (DNP),Darrell Arthur,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Pelicans,sprained left ankle (DNP),Tyreke Evans,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Spurs,fractured left index finger (DNP),Danny Green,DNP
2014,Mavericks,bruised right shoulder (DNP),Shawn Marion,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,76ers,strained right calf (DNP),Lavoy Allen,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,sprained right foot (DNP),Arron Afflalo,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Nuggets,strained left groin (DNP),Darrell Arthur,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Pelicans,sprained left ankle (DNP),Tyreke Evans,DNP
2014,Rockets,tendinitis in knee (DNP),Aaron Brooks,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Suns,sprained right shoulder (DNP),Leandro Barbosa,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,76ers,left calf injury (P) / strained right calf (CBC) (DNP),Lavoy Allen,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Heat,knee injury (DNP),Greg Oden,DNP
2014,Knicks,sprained left ankle (DNP),Amare Stoudemire,DNP
2014,Knicks,sprained left ankle (DNP),Kenyon Martin,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Mavericks,arthroscopic surgery on right knee to repair torn lateral meniscus (out indefinitely),Gal Mekel,out indefinitely
2014,Nuggets,strained left groin/hip (DNP),Darrell Arthur,DNP
2014,Suns,sprained right shoulder (DNP),Leandro Barbosa,DNP
2014,Heat,rest (DNP),Dwyane Wade,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,bruised right thigh (DNP),Omer Asik,DNP
2014,Bobcats,sprained left ankle (DTD),Kemba Walker,DTD
2014,Bucks,illness (DNP),Caron Butler,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Nuggets,strained left groin/hip (DNP),Darrell Arthur,DNP
2014,Nuggets,stomach virus (DNP),Randy Foye,DNP
2014,Spurs,bruised right shin (DNP),William Parker,DNP
2014,Spurs,fractured nose (DNP),Matt Bonner,DNP
2014,Raptors,back spasms (DNP),John Salmons,DNP
2014,76ers,finger injury (DTD),Brandon Davies,DTD
2014,76ers,sprained right ankle (DNP),Tony Wroten,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Knicks,sprained left ankle (DNP),Amare Stoudemire,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Pelicans,illness (DNP),Anthony Morrow,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,bruised left thigh (DNP),Terrence Jones,DNP
2014,Wizards,sprained left ankle (DNP),Trevor Booker,DNP
2014,Celtics,sprained left big toe (DNP),Jerryd Bayless,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Nuggets,surgery on left knee to reconstruct ACL (out for season),Danilo Gallinari,out for season
2014,Pelicans,illness (DNP),Anthony Morrow,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,76ers,sprained right ankle (DNP),Tony Wroten,DNP
2014,Bobcats,sprained left ankle (DNP),Kemba Walker,DNP
2014,Bucks,illness (DNP),Larry Sanders,DNP
2014,Bucks,illness (DNP),Ovinton Mayo,DNP
2014,Bulls,left calf injury (DNP),Carlos Boozer,DNP
2014,Celtics,sprained right ankle (out indefinitely),Avery Bradley,out indefinitely
2014,Celtics,rest / sore right knee (DNP),Rajon Rondo,DNP
2014,Knicks,sprained left ankle (DNP),Amare Stoudemire,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Raptors,surgery on right wrist (out indefinitely),Landry Fields,out indefinitely
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,sore right calf (DNP),Ronnie Brewer,DNP
2014,Rockets,bruised left thigh (DNP),Terrence Jones,DNP
2014,Spurs,fractured right hand (out indefinitely),Kawhi Leonard,out indefinitely
2014,Rockets,sore left knee (DNP),Francisco Garcia,DNP
2014,Hawks,stress fracture in right ankle (out indefinitely),Pero Antic,out indefinitely
2014,Knicks,torn ligament in left elbow (out for season),Andrea Bargnani,out for season
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Nuggets,strained left groin/hip (DNP),Darrell Arthur,DNP
2014,76ers,fractured right pinky finger (DNP),Brandon Davies,DNP
2014,76ers,sprained right ankle (DNP),Tony Wroten,DNP
2014,Bobcats,sprained left ankle (DNP),Kemba Walker,DNP
2014,Grizzlies,hand injury / sprained left wrist (DNP),Tony Allen,DNP
2014,Hawks,strained left hamstring (DNP),DeMarre Carroll,DNP
2014,Hawks,stress fracture in right ankle (DNP),Pero Antic,DNP
2014,Knicks,sprained left ankle (DNP),Amare Stoudemire,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Pelicans,illness (DNP),Tyreke Evans,DNP
2014,Rockets,sore left knee (DNP),Francisco Garcia,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,sore right calf (DNP),Ronnie Brewer,DNP
2014,Thunder,sore shoulder (DNP),Kevin Durant,DNP
2014,Wizards,flu (DNP),Martell Webster,DNP
2014,Bobcats,sprained left ankle (DNP),Kemba Walker,DNP
2014,Bucks,sprained left ankle (DNP),Ekpe Udoh,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Hawks,sprained left ankle (DNP),Jeff Teague,DNP
2014,Nuggets,strained left groin/hip (DNP),Darrell Arthur,DNP
2014,Rockets,sore left knee (DNP),Francisco Garcia,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,sore right calf (DNP),Ronnie Brewer,DNP
2014,Bucks,surgery on right foot (out for season) (CBC),Carlos Delfino,out for season
2014,Knicks,sprained left ankle (DNP),Amare Stoudemire,DNP
2014,Knicks,stomach virus (DNP),Metta Peace,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Nuggets,strained left groin/hip (DNP),Darrell Arthur,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Bucks,sprained left ankle (DNP),Ekpe Udoh,DNP
2014,Bucks,illness (DNP),Larry Sanders,DNP
2014,Bucks,illness (DNP),Ovinton Mayo,DNP
2014,Bulls,illness (DNP),Joakim Noah,DNP
2014,Hawks,sprained left ankle (DNP),Jeff Teague,DNP
2014,Raptors,sprained left ankle/foot (DNP),DeMar DeRozan,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Knicks,illness (DTD),Beno Udrih,DTD
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Magic,concussion (DNP),Nikola Vucevic,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Pistons,stomach virus (DNP),Charlie Villanueva,DNP
2014,Rockets,sore left knee (DNP),Francisco Garcia,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,bruised left thumb (DNP),James Harden,DNP
2014,Rockets,sore right calf (DNP),Ronnie Brewer,DNP
2014,Timberwolves,bursitis in right ankle (out indefinitely),Nikola Pekovic,out indefinitely
2014,76ers,fractured right pinky finger (DNP),Brandon Davies,DNP
2014,Bobcats,illness (DNP),Ben Gordon,DNP
2014,Bobcats,sprained left ankle (DNP),Kemba Walker,DNP
2014,Bucks,sprained left ankle (DNP),Ekpe Udoh,DNP
2014,Bucks,illness (DNP),Ovinton Mayo,DNP
2014,Celtics,rest / sore right knee (DNP),Rajon Rondo,DNP
2014,Clippers,illness (DNP),Antawn Jamison,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Magic,sprained right foot (DNP),Ronnie Price,DNP
2014,Nuggets,strained left rotator cuff (DNP),Ty Lawson,DNP
2014,Pelicans,finger injury (DNP),Anthony Davis,DNP
2014,Pelicans,right knee injury (DNP),Jason Smith,DNP
2014,Pelicans,stress fracture in right ankle/tibia (DNP),Jrue Holiday,DNP
2014,Raptors,fractured nose (DNP),Patrick Patterson,DNP
2014,Rockets,sore left knee (DNP),Francisco Garcia,DNP
2014,Rockets,sore right knee (DNP),Greg Smith,DNP
2014,Rockets,bruised left thumb (DNP),James Harden,DNP
2014,Knicks,illness (DNP),Beno Udrih,DNP
2014,Knicks,sprained right shoulder (DNP),Iman Shumpert,DNP
2014,Knicks,sprained left ankle (DNP),Kenyon Martin,DNP
2014,76ers,fractured right pinky finger (DNP),Brandon Davies,DNP
2014,Bobcats,sprained left ankle (DNP),Kemba Walker,DNP
2014,Bucks,sprained left ankle (DNP),Ekpe Udoh,DNP
2014,Bucks,sprained right wrist (DNP),John Henson,DNP
2014,Bucks,illness (DNP),Ovinton Mayo,DNP
2014,Grizzlies,hand injury (DNP),Tony Allen,DNP
2014,Jazz,sore back (DNP),John Lucas,DNP
2014,Lakers,torn left hamstring (DNP),Jordan Farmar,DNP
2014,Lakers,torn ligament in right elbow (DNP),Steve Blake,DNP
2014,Lakers,bone bruise in right knee (DNP),Xavier Henry,DNP
2014,Nets,sore right calf (DNP),Andrei Kirilenko,DNP
2014,Nuggets,strained left rotator cuff (DNP),Ty Lawson,DNP
2014,Warriors,sore/sprained left shoulder (DNP),David Lee,DNP
2014,Nuggets,torn ACL in left knee (out indefinitely),Nate Robinson,out indefinitely
2014,Nuggets,surgery on left knee to repair torn ACL (out indefinitely),Nate Robinson,out indefinitely
2014,76ers,fractured right pinky finger (DNP),Brandon Davies,DNP
